0,2.36609,0.0391707,0.0538503,0.00131955,0.0180855,73883.5,5256.663258
1,4.05557,0.000418121,0.0089791,0.00108472,0.014867,56979.3,4053.963236
11,6.52187,0.0228921,0.146868,0.00155411,0.0213005,92164.5,6557.319846
12,2.82379,0.0208503,0.155233,0.00156658,0.0214713,115308,8203.933584
13,9.76815,0.052262,0.363034,0.00211212,0.0289484,165833,11798.68628
14,14.2137,0.0725323,0.657844,0.00271017,0.0371452,210063,14945.56232
15,20.8813,0.103686,1.18797,0.00612354,0.0839285,253242,18017.66182
16,35.9857,0.171948,2.5348,0.017956,0.246103,316272,22502.12026
21,5.8165,0.0387213,0.254133,0.00212064,0.0290653,123291,8771.908068
22,9.33417,0.0462365,0.357951,0.00208597,0.02859,132348,9416.295504
23,13.1798,0.0650499,0.508789,0.00271128,0.0371605,163386,11624.58713
24,25.9039,0.115221,0.930889,0.00293965,0.0402905,211608,15055.48598
25,18.5265,0.124367,1.52098,0.00453134,0.062106,271723,19332.548
27,34.766,0.218173,2.14235,0.00870251,0.119276,374028,26611.34414
28,200.661,3.25428,8.21223,0.0536606,0.735465,499605,35545.89654
29,216.005,4.04662,11.1418,0.0769951,1.05529,684960,48733.53408
30,969.878,7.11962,12.8433,0.245917,3.37051,807005,57416.79174
33,10.9199,0.0703704,0.41958,0.00586679,0.0804096,178086,12670.46273
35,23.846,0.0921036,1.40529,0.00900861,0.123471,272535,19390.32018
37,28.9476,0.117916,2.28006,0.00918422,0.125878,360261,25631.84963
38,68.1954,1.15714,7.50412,0.0132642,0.181797,468102,33304.5211
39,167.612,2.11771,13.3438,0.0320607,0.43942,613382,43640.90254
40,407.603,2.7341,14.3353,0.0359667,0.492955,811659,57747.91453
