0,1.97892,0.0953798,0.0695436,0.00522486,0.0239643,48371.4,3441.528367
1,0.341669,0.0231352,0.0294708,0.00450976,0.0206844,44749.1,3183.808967
11,6.80345,0.0650524,0.103114,0.00447462,0.0205233,70367,5006.471316
12,11.1072,0.0498479,0.157418,0.00470869,0.0215969,97164,6913.024272
13,10.2406,0.0942146,0.368511,0.0066702,0.0305935,135036,9607.541328
14,14.6935,0.128156,0.650607,0.00661505,0.0303405,170626,12139.69865
15,21.3068,0.178659,1.15309,0.00636392,0.0291887,203467,14476.27012
16,35.9513,0.285382,2.40478,0.0165839,0.0760634,245748,17484.4787
21,8.86745,0.0973768,0.203915,0.00854285,0.0391826,95730.3,6811.019384
22,11.7489,0.0894292,0.331209,0.0113997,0.0522858,108968,7752.855264
23,15.1095,0.0964139,0.500717,0.00823071,0.0377509,132716,9442.477968
24,22.0873,0.183979,0.843921,0.00906222,0.0415647,170266,12114.08537
25,25.0671,0.18329,1.18354,0.0112721,0.0517003,227221,16166.31971
27,37.6451,0.289654,1.86362,0.0180833,0.0829407,299543,21311.88536
28,127.616,1.95524,6.85885,0.0395121,0.181226,403761,28726.78763
29,270.27,3.47139,12.0423,0.189873,0.870871,553155,39355.87194
30,949.244,5.73108,15.8433,0.281271,1.29007,694644,49422.53131
33,6.65783,0.0935418,0.434612,0.0117726,0.053996,136387,9703.662276
35,11.3684,0.129899,1.19894,0.0174424,0.0800013,218699,15559.99645
37,16.7341,0.166455,1.67539,0.0133771,0.0613553,284892,20269.49602
38,116.968,1.32031,5.8239,0.0327562,0.150239,371483,26430.27248
39,123.421,1.91714,8.66952,0.0689814,0.31639,494808,35204.59958
40,362.729,2.50657,10.9191,0.0796885,0.365499,630762,44877.45478
